gigtrust_id,grs,grs_band,engine_amount,engine_rate,sanctioned_amount,approved,defaulted
GT-DLD-2301-VFJES-K,811,STRONG,56500,0.1777,56800.0,1,0
GT-TGF-2306-TNGWF-K,843,STRONG,71000,0.1731,41100.0,1,0
GT-KLF-2307-A4F2C-5,783,RELIABLE,35000,0.2127,28200.0,1,0
GT-KAD-2403-7DKMB-1,799,RELIABLE,31500,0.2097,37900.0,1,0
GT-RJD-2206-DPR9V-G,753,RELIABLE,32500,0.2191,39300.0,1,0
GT-TGR-2203-HFC5N-R,643,EMERGING,12500,0.2966,11900.0,1,1
GT-WBD-2402-MMTPA-1,600,EMERGING,16500,0.3,0.0,0,0
GT-GJR-2203-MMYRZ-W,718,RELIABLE,23000,0.2284,0.0,0,0
GT-UPW-2306-3AS02-A,733,RELIABLE,33000,0.2242,0.0,0,0
GT-KLF-2311-RVG6C-D,764,RELIABLE,28000,0.2166,28900.0,1,0
GT-KLR-2403-8M0K5-8,868,STRONG,53000,0.1701,52900.0,1,0
GT-KAH-2301-2VEK4-L,667,RELIABLE,19000,0.2462,0.0,0,0
GT-TGD-2111-2YT0H-0,867,STRONG,78000,0.1702,52200.0,1,0
GT-WBC-2205-WV4EY-L,613,EMERGING,12000,0.3,11600.0,1,0
GT-WBW-2303-QJN4Y-X,713,RELIABLE,23000,0.2299,19900.0,1,0
GT-KLR-2307-3NCHF-9,800,STRONG,56000,0.1795,62100.0,1,0
GT-GJD-2208-1CZSR-Z,814,STRONG,56500,0.1772,34800.0,1,0
GT-TGD-2110-Y315A-X,600,EMERGING,20000,0.3,20200.0,1,0
GT-KLC-2204-7AAYJ-B,830,STRONG,41500,0.1748,45500.0,1,0
GT-UPD-2210-W4RRA-C,704,RELIABLE,20500,0.2328,22900.0,1,1
GT-UPC-2205-ZM4ZV-I,693,RELIABLE,18000,0.2364,16900.0,1,0
GT-GJR-2106-94ZP5-S,680,RELIABLE,30000,0.2411,30400.0,1,0
GT-KAR-2203-FA085-7,722,RELIABLE,24500,0.2272,25200.0,1,0
GT-KLF-2308-7JPMD-O,600,EMERGING,12500,0.3,13000.0,1,1
GT-UPD-2310-AAM1K-T,520,EMERGING,12000,0.3,0.0,0,1
GT-MHR-2109-7FYQ0-S,663,RELIABLE,21500,0.2478,15300.0,1,1
GT-DLH-2309-1A5JG-F,774,RELIABLE,25500,0.2145,24400.0,1,0
GT-TND-2111-5RPFK-8,600,EMERGING,19000,0.3,20200.0,1,1
GT-DLC-2106-XBB2Y-Z,809,STRONG,42000,0.178,40100.0,1,0
GT-GJH-2106-MNJ82-B,600,EMERGING,17500,0.3,15400.0,1,0
GT-WBD-2203-BG465-3,761,RELIABLE,36000,0.2173,37000.0,1,0
GT-DLR-2209-HQ9MT-S,833,STRONG,56000,0.1744,62800.0,1,0
GT-GJD-2102-2ZNE5-S,600,EMERGING,16000,0.3,13500.0,1,0
GT-DLF-2203-97SPB-4,600,EMERGING,22000,0.3,22200.0,1,0
GT-MHH-2310-RJNBN-O,715,RELIABLE,27000,0.2293,24100.0,1,1
GT-KLC-2402-6RRTC-H,735,RELIABLE,23500,0.2236,23600.0,1,0
GT-TNC-2209-08724-6,680,RELIABLE,17500,0.2411,21500.0,1,1
GT-DLD-2201-KG5WM-T,644,EMERGING,9000,0.2962,8200.0,1,0
GT-UPR-2304-VB74C-E,788,RELIABLE,27500,0.2117,28100.0,1,0
GT-UPD-2106-ESKHC-6,600,EMERGING,10500,0.3,0.0,0,0
GT-MHC-2103-SPNYY-D,730,RELIABLE,23000,0.225,24700.0,1,0
GT-KAD-2107-B24HQ-A,600,EMERGING,14000,0.3,0.0,0,0
GT-RJD-2109-X7GP1-N,797,RELIABLE,41000,0.2101,47500.0,1,0
GT-WBD-2305-TG847-P,680,RELIABLE,33000,0.2411,39300.0,1,0
GT-TGD-2102-V2BCD-7,771,RELIABLE,38000,0.2151,0.0,0,0
GT-TGD-2208-4TWNQ-J,777,RELIABLE,33000,0.2139,35700.0,1,0
GT-WBD-2309-PVBN5-T,688,RELIABLE,29000,0.2382,25500.0,1,0
GT-GJC-2210-NNQ32-8,614,EMERGING,11000,0.3,0.0,0,1
GT-KAW-2107-63596-B,589,EMERGING,9500,0.3,6900.0,1,0
GT-DLD-2105-GXE9M-N,520,EMERGING,13000,0.3,0.0,0,1
GT-KLW-2401-XYJ9D-6,633,EMERGING,11000,0.3,12300.0,1,0
GT-MHR-2111-48WK2-H,600,EMERGING,17500,0.3,14300.0,1,0
GT-KLW-2104-DRD88-6,600,EMERGING,10500,0.3,0.0,0,1
GT-TGD-2311-1TMJQ-H,721,RELIABLE,35000,0.2275,33700.0,1,0
GT-MHR-2101-ADJM9-C,794,RELIABLE,35000,0.2106,40500.0,1,0
GT-WBR-2404-PT7YP-D,709,RELIABLE,32000,0.2311,35800.0,1,0
GT-GJD-2205-B7XPV-M,872,STRONG,45000,0.1697,39300.0,1,0
GT-TNF-2308-3YGXV-B,663,RELIABLE,20000,0.2478,0.0,0,1
GT-UPW-2209-FJCG5-M,787,RELIABLE,29500,0.2119,28500.0,1,0
GT-KAW-2108-S6FKP-0,675,RELIABLE,17000,0.243,0.0,0,0
GT-MHR-2303-8DB9C-0,727,RELIABLE,20500,0.2258,0.0,0,0
GT-GJR-2401-2TV32-J,820,STRONG,61500,0.1763,59700.0,1,1
GT-WBW-2212-NG2FA-F,628,EMERGING,8500,0.3,7800.0,1,1
GT-GJD-2111-E849R-T,791,RELIABLE,25500,0.2112,27300.0,1,0
GT-RJD-2310-QKB5B-3,783,RELIABLE,34000,0.2127,36200.0,1,0
GT-KLR-2207-JR68G-S,719,RELIABLE,22500,0.2281,25100.0,1,1
GT-WBD-2212-Y9Q4J-Y,520,EMERGING,10500,0.3,0.0,0,1
GT-WBR-2208-02FN6-F,767,RELIABLE,36000,0.2159,33500.0,1,0
GT-KLD-2111-N453J-Q,729,RELIABLE,32000,0.2253,32200.0,1,0
GT-KLF-2304-0H3MY-A,766,RELIABLE,22000,0.2161,23100.0,1,1
GT-KAF-2205-ANTZG-E,755,RELIABLE,28000,0.2186,23000.0,1,0
GT-WBW-2303-86V7M-G,879,STRONG,50500,0.169,53900.0,1,0
GT-KLF-2203-BRMJC-P,741,RELIABLE,43500,0.2221,34800.0,1,0
GT-KAR-2204-B17VC-8,600,EMERGING,10500,0.3,0.0,0,0
GT-KLH-2211-61E7M-V,789,RELIABLE,33000,0.2115,33800.0,1,0
GT-UPW-2209-1WKA9-I,758,RELIABLE,25500,0.2179,23400.0,1,0
GT-MHR-2205-G4YY0-G,855,STRONG,57000,0.1716,67200.0,1,0
GT-GJD-2309-3Z1HB-B,823,STRONG,63500,0.1758,64000.0,1,0
GT-TGF-2212-4MTGK-H,773,RELIABLE,34500,0.2146,35200.0,1,0
GT-TNF-2111-X9AFC-F,872,STRONG,90000,0.1697,82700.0,1,0
GT-GJF-2205-GAH7J-A,600,EMERGING,9500,0.3,9600.0,1,1
GT-UPW-2302-K5H1E-I,705,RELIABLE,22000,0.2324,24300.0,1,1
GT-RJC-2303-J18Q2-3,600,EMERGING,13500,0.3,13500.0,1,0
GT-TGH-2202-YTDA8-D,600,EMERGING,15000,0.3,14000.0,1,0
GT-MHF-2209-KPB54-Q,659,RELIABLE,20000,0.2495,18700.0,1,0
GT-RJH-2307-SF2C5-I,680,RELIABLE,24500,0.2411,24600.0,1,1
GT-TNC-2308-J316V-X,747,RELIABLE,22000,0.2205,26000.0,1,0
GT-UPD-2205-9J2AV-U,651,RELIABLE,20500,0.253,0.0,0,1
GT-UPF-2309-8TRD2-K,662,RELIABLE,15500,0.2482,0.0,0,0
GT-KAD-2401-T5QY9-I,724,RELIABLE,25000,0.2266,21900.0,1,0
GT-TGD-2304-MG2G7-X,809,STRONG,53000,0.178,53800.0,1,0
GT-KAD-2403-2A54C-P,899,STRONG,64000,0.1671,59500.0,1,0
GT-GJR-2205-YPMGH-3,961,PRIME,130500,0.1427,81500.0,1,0
GT-UPD-2302-JGSDS-0,783,RELIABLE,30000,0.2127,27800.0,1,0
GT-WBD-2309-4PCWC-H,676,RELIABLE,17500,0.2427,0.0,0,0
GT-TND-2301-GTEGR-S,535,EMERGING,6000,0.3,0.0,0,0
GT-KLF-2305-WJH3B-G,774,RELIABLE,37500,0.2145,46400.0,1,0
GT-KAC-2402-NMN9H-S,667,RELIABLE,24000,0.2462,24200.0,1,0
GT-MHH-2212-FM1B5-J,685,RELIABLE,23500,0.2393,22400.0,1,0
GT-TNR-2206-68TF6-S,706,RELIABLE,23500,0.2321,27800.0,1,1
GT-KLD-2103-SVHN5-A,744,RELIABLE,21500,0.2213,0.0,0,0
GT-RJC-2206-946XQ-3,822,STRONG,49000,0.176,54800.0,1,0
GT-WBD-2304-YBT8Y-R,753,RELIABLE,17500,0.2191,15700.0,1,1
GT-KLH-2402-GWJ18-3,778,RELIABLE,27500,0.2136,31900.0,1,0
GT-KLF-2310-ZC6H8-Y,673,RELIABLE,19500,0.2438,15700.0,1,1
GT-WBR-2309-0RB80-N,592,EMERGING,10000,0.3,0.0,0,1
GT-MHD-2403-1WQSP-3,600,EMERGING,14000,0.3,11700.0,1,0
GT-RJD-2106-CP07C-7,753,RELIABLE,30500,0.2191,34400.0,1,1
GT-GJR-2305-EAN6K-N,925,PRIME,89500,0.145,99300.0,1,0
GT-MHR-2401-YXMRN-8,770,RELIABLE,31500,0.2153,38300.0,1,0
GT-RJC-2110-NDDQ2-C,822,STRONG,51500,0.176,43600.0,1,0
GT-TNF-2212-Z6KHB-R,600,EMERGING,16000,0.3,0.0,0,1
GT-UPR-2304-SQMAT-5,679,RELIABLE,26000,0.2415,24400.0,1,0
GT-DLD-2402-RP0ZX-O,667,RELIABLE,17000,0.2462,0.0,0,0
GT-KAR-2203-PYYEG-9,520,EMERGING,18500,0.3,0.0,0,0
GT-TGD-2210-4RVB0-M,894,STRONG,71000,0.1675,76600.0,1,0
GT-TGF-2402-02WNB-F,664,RELIABLE,21500,0.2474,23700.0,1,0
GT-RJF-2211-JSYCC-N,805,STRONG,43000,0.1787,42000.0,1,0
GT-MHW-2403-WZ25K-0,600,EMERGING,15500,0.3,15500.0,1,0
GT-KLR-2111-MAQ9A-E,680,RELIABLE,28000,0.2411,29100.0,1,0
GT-MHD-2204-1BGP9-A,520,EMERGING,20000,0.3,0.0,0,0
GT-KLW-2107-023CA-U,756,RELIABLE,19000,0.2184,18000.0,1,1
GT-UPF-2404-D913B-7,784,RELIABLE,30500,0.2125,28200.0,1,1
GT-TNF-2304-G5ZEZ-Q,600,EMERGING,13000,0.3,0.0,0,0
GT-KLR-2110-QV8RA-5,821,STRONG,40500,0.1761,43700.0,1,0
GT-TNC-2208-X9X60-Y,731,RELIABLE,20000,0.2247,18900.0,1,0
GT-GJD-2101-26X6F-Q,632,EMERGING,11000,0.3,10100.0,1,1
GT-KAR-2201-4MGNW-P,657,RELIABLE,20000,0.2503,20400.0,1,0
GT-MHW-2208-ATPTZ-J,778,RELIABLE,23000,0.2136,16900.0,1,0
GT-TND-2308-PSVRX-H,929,PRIME,78500,0.1447,69500.0,1,0
GT-DLW-2106-HMN3P-T,739,RELIABLE,33000,0.2226,36400.0,1,0
GT-DLR-2111-TD8RW-E,728,RELIABLE,24000,0.2256,21800.0,1,0
GT-TND-2107-TV6HP-E,760,RELIABLE,30000,0.2175,30300.0,1,0
GT-GJD-2305-AVNX0-2,876,STRONG,63000,0.1693,76100.0,1,0
GT-MHC-2304-C8X22-T,742,RELIABLE,30500,0.2218,26300.0,1,0
GT-UPW-2110-WGHQC-0,774,RELIABLE,32000,0.2145,31600.0,1,0
GT-RJD-2201-0Q0BS-X,834,STRONG,59500,0.1743,56300.0,1,0
GT-RJD-2106-DVZY0-X,772,RELIABLE,40500,0.2149,45700.0,1,0
GT-MHD-2305-0R48X-M,906,PRIME,90000,0.1465,88600.0,1,0
GT-RJD-2112-398HH-7,776,RELIABLE,33000,0.214,34100.0,1,0
GT-MHW-2401-6KYMD-3,690,RELIABLE,25500,0.2375,0.0,0,0
GT-MHD-2307-2VZ79-Z,612,EMERGING,8500,0.3,7800.0,1,0
GT-UPD-2306-B8X6B-H,881,STRONG,63500,0.1687,65500.0,1,0
GT-UPD-2112-A6Y1V-N,864,STRONG,53500,0.1705,46700.0,1,0
GT-MHF-2112-MW7HA-5,747,RELIABLE,35000,0.2205,31900.0,1,0
GT-TGF-2210-HGPFE-L,747,RELIABLE,33500,0.2205,34000.0,1,0
GT-TGF-2202-H2N36-V,835,STRONG,60000,0.1741,56800.0,1,0
GT-UPR-2207-QA65Y-F,678,RELIABLE,24500,0.2419,25800.0,1,0
GT-WBH-2105-69PHB-L,663,RELIABLE,21500,0.2478,21500.0,1,1
GT-GJR-2101-T8T61-R,805,STRONG,50000,0.1787,56300.0,1,0
GT-KAC-2305-CJ36G-Q,600,EMERGING,16000,0.3,12000.0,1,0
GT-KLF-2211-AT5CP-4,755,RELIABLE,24500,0.2186,21600.0,1,0
GT-WBD-2401-G0MCG-G,748,RELIABLE,26500,0.2203,25100.0,1,0
GT-GJW-2401-X23B0-V,726,RELIABLE,20000,0.2261,0.0,0,0
GT-TGF-2302-CDHW0-P,903,PRIME,68000,0.1468,65400.0,1,0
GT-DLF-2207-4J85N-Y,763,RELIABLE,22500,0.2168,24100.0,1,0
GT-GJD-2312-DYS55-2,792,RELIABLE,24500,0.211,32300.0,1,0
GT-DLR-2311-Y0166-V,632,EMERGING,8500,0.3,8200.0,1,1
GT-DLC-2212-KMSJR-D,722,RELIABLE,29500,0.2272,28000.0,1,1
GT-WBD-2207-AYMKT-R,656,RELIABLE,18500,0.2508,0.0,0,1
GT-TND-2104-WXPX1-3,655,RELIABLE,18000,0.2512,20400.0,1,1
GT-RJD-2312-5JA7G-Z,731,RELIABLE,21500,0.2247,25700.0,1,1
GT-GJR-2206-GZ9KM-5,680,RELIABLE,23500,0.2411,19600.0,1,0
GT-TNW-2310-787JP-Q,600,EMERGING,21000,0.3,0.0,0,0
GT-KAF-2109-MESXE-3,664,RELIABLE,16500,0.2474,15500.0,1,1
GT-TNC-2302-8Z0X4-O,760,RELIABLE,39000,0.2175,42900.0,1,0
GT-MHR-2210-F59WG-5,701,RELIABLE,23500,0.2337,0.0,0,0
GT-DLR-2101-9ZAB6-S,739,RELIABLE,21000,0.2226,24500.0,1,0
GT-DLD-2210-0WQ14-6,856,STRONG,65500,0.1714,66500.0,1,0
GT-GJD-2102-0927R-R,763,RELIABLE,25000,0.2168,21000.0,1,0
GT-MHW-2107-G0011-6,901,PRIME,104500,0.1469,106500.0,1,0
GT-MHD-2111-E69VY-K,718,RELIABLE,21500,0.2284,22000.0,1,0
GT-KAD-2302-BBZ5G-A,600,EMERGING,13000,0.3,16600.0,1,0
GT-KLC-2106-PF6E7-L,600,EMERGING,13000,0.3,0.0,0,1
GT-KLR-2205-DB6WX-0,600,EMERGING,18500,0.3,17500.0,1,0
GT-DLD-2203-9GBNX-P,780,RELIABLE,30000,0.2133,28800.0,1,0
GT-TGF-2207-Q7M2X-M,668,RELIABLE,17500,0.2458,0.0,0,1
GT-TNR-2111-6D4EZ-K,741,RELIABLE,24000,0.2221,19000.0,1,1
GT-WBC-2206-RD2JR-P,769,RELIABLE,29000,0.2155,22800.0,1,0
GT-WBF-2207-KPNC5-W,936,PRIME,133500,0.1442,116500.0,1,0
GT-DLD-2108-D0STR-0,873,STRONG,77000,0.1696,78800.0,1,0
GT-GJD-2303-SBT9M-Q,704,RELIABLE,20500,0.2328,0.0,0,0
GT-KAD-2210-MC3Y3-D,691,RELIABLE,22500,0.2371,28100.0,1,0
GT-GJF-2211-4CGKF-W,637,EMERGING,9500,0.2995,9700.0,1,0
GT-UPR-2307-Q2Z3M-P,679,RELIABLE,27000,0.2415,0.0,0,0
GT-KAW-2401-J0005-B,600,EMERGING,20000,0.3,21400.0,1,0
GT-UPR-2209-8Y93V-S,897,STRONG,62000,0.1672,53000.0,1,0
GT-UPD-2203-EX37Y-3,683,RELIABLE,20000,0.24,20600.0,1,0
GT-KLD-2302-98DJT-Y,679,RELIABLE,21000,0.2415,16800.0,1,0
GT-RJD-2108-7F31E-L,534,EMERGING,4500,0.3,0.0,0,1
GT-KAR-2210-3S8AT-J,728,RELIABLE,29000,0.2256,27300.0,1,0
GT-KAR-2302-9XZ2X-I,601,EMERGING,12000,0.3,11500.0,1,0
GT-MHH-2404-AVG2C-J,717,RELIABLE,30000,0.2287,27200.0,1,0
GT-WBD-2207-TZXKB-2,600,EMERGING,14000,0.3,0.0,0,0
GT-UPF-2110-ZCHSW-8,729,RELIABLE,27000,0.2253,0.0,0,1
GT-GJD-2112-N9058-N,582,EMERGING,6500,0.3,0.0,0,0
GT-TNF-2109-Y0WW2-A,629,EMERGING,8500,0.3,8200.0,1,1
GT-DLD-2101-G702X-U,900,PRIME,83500,0.147,68400.0,1,0
GT-KAF-2105-2TP6V-V,624,EMERGING,7500,0.3,6300.0,1,0
GT-TND-2101-KJZGK-2,624,EMERGING,9000,0.3,0.0,0,1
GT-TND-2307-WEKCG-I,919,PRIME,86000,0.1454,84800.0,1,0
GT-TNR-2104-QP6DX-3,915,PRIME,88500,0.1457,84800.0,1,0
GT-KAR-2108-BR1HJ-Q,639,EMERGING,12500,0.2985,14500.0,1,0
GT-DLR-2201-SNSR8-F,734,RELIABLE,28000,0.2239,27000.0,1,0
GT-RJD-2307-FF27H-U,767,RELIABLE,30000,0.2159,29600.0,1,0
GT-DLH-2103-8CYZD-A,906,PRIME,98000,0.1465,77400.0,1,0
GT-RJD-2301-P6HJ1-E,738,RELIABLE,25000,0.2229,26500.0,1,0
GT-KAR-2109-J0Y6S-X,693,RELIABLE,21000,0.2364,22200.0,1,0
GT-GJC-2103-2K0RQ-Y,842,STRONG,67500,0.1732,58900.0,1,0
GT-MHF-2204-24SPM-X,793,RELIABLE,27000,0.2107,29100.0,1,0
GT-TND-2101-M7JDH-G,703,RELIABLE,18000,0.2331,18400.0,1,0
GT-KLR-2403-XMJVQ-8,773,RELIABLE,28000,0.2146,25100.0,1,1
GT-UPD-2302-FZW61-8,633,EMERGING,10000,0.3,0.0,0,1
GT-WBR-2111-MX3NP-2,703,RELIABLE,25000,0.2331,0.0,0,0
GT-GJR-2107-737T7-9,680,RELIABLE,29500,0.2411,22300.0,1,0
GT-GJW-2307-NR9EB-K,600,EMERGING,20000,0.3,0.0,0,0
GT-UPC-2212-4JSSH-0,688,RELIABLE,23000,0.2382,22400.0,1,0
GT-WBD-2306-H9BV5-R,600,EMERGING,16500,0.3,0.0,0,0
GT-WBD-2104-6MDJS-1,814,STRONG,51500,0.1772,0.0,0,0
GT-KAR-2208-5EQDY-9,792,RELIABLE,33000,0.211,34100.0,1,0
GT-KLR-2201-ZW7ZB-E,801,STRONG,53500,0.1794,51600.0,1,0
GT-WBR-2104-N76GB-J,784,RELIABLE,37500,0.2125,38900.0,1,0
GT-DLF-2108-759GE-C,771,RELIABLE,23500,0.2151,22000.0,1,0
GT-MHR-2103-823AH-I,672,RELIABLE,21500,0.2442,21200.0,1,0
GT-GJH-2111-SF7KV-0,752,RELIABLE,25000,0.2193,30400.0,1,0
GT-UPR-2212-1QK3Q-6,728,RELIABLE,34000,0.2256,35700.0,1,0
GT-RJD-2209-C8W20-K,893,STRONG,59500,0.1676,65300.0,1,0
GT-RJD-2301-SE0NY-Z,873,STRONG,68000,0.1696,70800.0,1,0
GT-RJF-2205-QYXCP-C,600,EMERGING,16500,0.3,14100.0,1,0
GT-GJD-2203-M5AFV-O,685,RELIABLE,15500,0.2393,0.0,0,0
GT-KLD-2211-1KSCK-W,669,RELIABLE,15500,0.2454,15000.0,1,1
GT-KAD-2109-B4Y13-8,874,STRONG,58000,0.1695,65500.0,1,0
GT-TNW-2302-MVNSX-M,772,RELIABLE,34000,0.2149,40700.0,1,0
GT-TGH-2102-HV7CY-4,800,STRONG,51500,0.1795,48800.0,1,0
GT-GJR-2307-ZDKN9-N,619,EMERGING,7000,0.3,0.0,0,1
GT-DLD-2212-ADN1M-8,829,STRONG,56000,0.175,63200.0,1,0
GT-DLR-2307-KWP7M-C,753,RELIABLE,36000,0.2191,44300.0,1,0
GT-KLR-2305-B10GT-D,675,RELIABLE,20500,0.243,21900.0,1,1
GT-GJH-2111-EWPM9-I,716,RELIABLE,26000,0.229,24700.0,1,0
GT-GJR-2306-HAFQA-Y,754,RELIABLE,29000,0.2188,32600.0,1,0
GT-MHF-2307-J90F1-R,762,RELIABLE,34000,0.217,36100.0,1,0
GT-WBC-2303-1TMVG-Y,749,RELIABLE,34000,0.22,36700.0,1,1
GT-TGF-2303-X7S6T-3,739,RELIABLE,34500,0.2226,0.0,0,1
GT-GJD-2312-J4SMV-L,745,RELIABLE,32000,0.2211,28800.0,1,1
GT-KLF-2104-0YG81-E,727,RELIABLE,28000,0.2258,23400.0,1,0
GT-DLR-2206-47Y2R-D,872,STRONG,68000,0.1697,64000.0,1,0
GT-RJR-2109-E2V0W-K,548,EMERGING,7000,0.3,0.0,0,1
GT-GJH-2102-7S436-X,751,RELIABLE,27500,0.2196,28000.0,1,1
GT-TGD-2110-EDKT4-D,744,RELIABLE,28000,0.2213,19500.0,1,0
GT-KLR-2311-CGAST-2,787,RELIABLE,46000,0.2119,51000.0,1,0
GT-MHD-2307-NQK06-4,749,RELIABLE,21500,0.22,0.0,0,0
GT-GJD-2302-CRWZB-Z,671,RELIABLE,23500,0.2446,25500.0,1,1
GT-TNF-2205-MMVZD-S,806,STRONG,34000,0.1785,34900.0,1,0
GT-GJW-2208-5B4NA-4,911,PRIME,85500,0.1461,100400.0,1,0
GT-MHF-2109-WW8MS-8,673,RELIABLE,16000,0.2438,12900.0,1,0
GT-UPD-2401-GCNZF-Q,831,STRONG,53000,0.1747,54700.0,1,0
GT-KAD-2205-TSS0D-F,691,RELIABLE,24500,0.2371,20400.0,1,0
GT-TNR-2107-YRC89-O,737,RELIABLE,34500,0.2231,35400.0,1,0
GT-KLR-2301-N1JS6-O,678,RELIABLE,19000,0.2419,20200.0,1,1
GT-GJW-2105-MG6A4-P,744,RELIABLE,23000,0.2213,27500.0,1,0
GT-TGF-2301-23S69-5,890,STRONG,58000,0.1679,59300.0,1,0
GT-TNC-2110-5C35C-P,826,STRONG,45000,0.1754,44500.0,1,0
GT-KAW-2203-15G9E-K,871,STRONG,80500,0.1698,91700.0,1,0
GT-MHR-2402-8SVF6-M,830,STRONG,62500,0.1748,51600.0,1,0
GT-UPF-2109-C3KTD-G,750,RELIABLE,28500,0.2198,38300.0,1,0
GT-DLW-2203-6JGDK-Z,890,STRONG,65500,0.1679,70400.0,1,0
GT-KAH-2207-WPF3R-1,778,RELIABLE,30500,0.2136,30900.0,1,1
GT-TGR-2306-XDGD3-H,842,STRONG,56500,0.1732,43300.0,1,0
GT-TNF-2102-F0244-X,736,RELIABLE,30000,0.2233,27900.0,1,0
GT-KLR-2301-RRDT0-E,813,STRONG,48000,0.1774,54900.0,1,0
GT-DLW-2204-4ZQ8G-F,736,RELIABLE,29000,0.2233,0.0,0,1
GT-DLC-2103-WR1AT-A,833,STRONG,63500,0.1744,47500.0,1,0
GT-MHC-2105-62YR3-J,648,EMERGING,9000,0.2943,8900.0,1,1
GT-MHD-2206-G1R1J-4,835,STRONG,46500,0.1741,41600.0,1,0
GT-WBD-2112-ZSVCQ-I,732,RELIABLE,27500,0.2244,19600.0,1,0
GT-DLW-2102-KDYHG-I,828,STRONG,62500,0.1751,75800.0,1,0
GT-UPF-2207-4K3CY-P,520,EMERGING,24000,0.3,0.0,0,0
GT-RJC-2211-QPYYN-6,912,PRIME,88000,0.146,82100.0,1,0
